titulo,categoria,data,link
Tempo seco intensifica risco de queimadas no interior paulista,Geral,19/07/2026,https://agenciabrasil.ebc.com.br/geral/noticia/2026-07/tempo-seco-intensifica-risco-de-queimadas-no-interior-paulista
Janeiro tem número de focos de calor duas vezes maior que a média,Meio Ambiente,30/01/2026,https://agenciabrasil.ebc.com.br/meio-ambiente/noticia/2026-01/janeiro-tem-numero-de-focos-de-calor-duas-vezes-maior-que-media
Chile declara estado de catástrofe por incêndios com 16 mortos,Internacional,18/01/2026,https://agenciabrasil.ebc.com.br/internacional/noticia/2026-01/chile-declara-estado-de-catastrofe-por-incendios-com-16-mortos
SP segue em atenção para queimadas; reservatórios estão em alerta,Geral,05/10/2025,https://agenciabrasil.ebc.com.br/geral/noticia/2025-10/sp-segue-em-atencao-para-queimadas-reservatorios-estao-em-alerta
Quatro equipes de brigadistas combatem incêndio em Cavalcante (GO),Geral,01/10/2025,https://agenciabrasil.ebc.com.br/geral/noticia/2025-10/brigadistas-combatem-incendio-em-cavalcante-goias
Ano de 2025 é quinto com maior área atingida por queimadas até agosto,Meio Ambiente,12/09/2025,https://agenciabrasil.ebc.com.br/meio-ambiente/noticia/2025-09/ano-de-2025-e-quinto-com-maior-area-atingida-por-queimadas-ate-agosto
Julho tem menor área queimada dos últimos sete anos,Meio Ambiente,20/08/2025,https://agenciabrasil.ebc.com.br/meio-ambiente/noticia/2025-08/julho-tem-menor-area-queimada-dos-ultimos-sete-anos
Queimadas atingiram 30 milhões de hectares no país em 2024,Meio Ambiente,24/06/2025,https://agenciabrasil.ebc.com.br/meio-ambiente/noticia/2025-06/queimadas-atingiram-30-milhoes-de-hectares-no-pais-em-2024
Dino homologa parcialmente plano anti-incêndios na Amazônia e Pantanal,Justiça,14/03/2025,https://agenciabrasil.ebc.com.br/justica/noticia/2025-03/dino-homologa-parcialmente-plano-anti-incendios-na-amazonia-e-pantanal
STF dá prazo de 30 dias para conclusão de planos contra queimadas,Justiça,22/01/2025,https://agenciabrasil.ebc.com.br/justica/noticia/2025-01/stf-da-prazo-de-30-dias-para-conclusao-de-planos-contra-queimadas
Brasil tem 1 milhão de focos de queimada registrados em 5 anos,Meio Ambiente,03/01/2025,https://agenciabrasil.ebc.com.br/meio-ambiente/noticia/2025-01/brasil-tem-1-milhao-de-focos-de-queimada-registrados-em-5-anos
Dino cobra informações do governo de SP sobre combate às queimadas,Justiça,19/12/2024,https://agenciabrasil.ebc.com.br/justica/noticia/2024-12/dino-cobra-informacoes-do-governo-de-sp-sobre-combate-queimadas
Área queimada no Brasil até novembro quase dobra em relação a 2023,Meio Ambiente,16/12/2024,https://agenciabrasil.ebc.com.br/meio-ambiente/noticia/2024-12/area-queimada-no-brasil-ate-novembro-quase-dobra-em-relacao-2023
Amazônia tem o maior número de queimadas e incêndios em 17 anos,Meio Ambiente,14/12/2024,https://agenciabrasil.ebc.com.br/meio-ambiente/noticia/2024-12/amazonia-tem-o-maior-numero-de-queimadas-e-incendios-em-17-anos
Desmatamento cai 55% na Mata Atlântica no primeiro semestre,Meio Ambiente,16/11/2024,https://agenciabrasil.ebc.com.br/meio-ambiente/noticia/2024-11/desmatamento-cai-55-na-mata-atlantica-no-primeiro-semestre
Brasil reduz em 12% emissões de gases do efeito estufa em 2023,Meio Ambiente,07/11/2024,https://agenciabrasil.ebc.com.br/meio-ambiente/noticia/2024-11/brasil-reduz-em-12-emissoes-de-gases-do-efeito-estufa-em-2023
"Crimes ambientais na Amazônia Legal aumentam 88%, aponta PRF",Meio Ambiente,29/10/2024,https://agenciabrasil.ebc.com.br/meio-ambiente/noticia/2024-10/crimes-ambientais-na-amazonia-legal-aumentam-88-aponta-prf
Focos de incêndios no Brasil já são 76% maiores que em 2023,Meio Ambiente,14/10/2024,https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/registro-de-focos-de-incendios-no-brasil-e-76-maior-que-em-2023
AGU cobra R$ 89 milhões de acusados de causar queimadas na Amazônia,Meio Ambiente,09/10/2024,https://agenciabrasil.ebc.com.br/meio-ambiente/noticia/2024-10/agu-cobra-r-89-milhoes-de-acusados-de-causar-queimadas-na-amazonia
Brasília atinge recorde histórico de seca nesta sexta-feira,Geral,04/10/2024,https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/brasilia-atinge-recorde-historico-de-seca-nesta-sexta-feira
Pesquisa mostra capitais na contramão de meta para redução de emissões,Meio Ambiente,03/10/2024,https://agenciabrasil.ebc.com.br/politica/noticia/2024-09/pesquisa-mostra-capitais-na-contramao-de-meta-para-reducao-de-emissoes
Queimadas aumentam em São Paulo e atingem 10 municípios,Meio Ambiente,02/10/2024,https://agenciabrasil.ebc.com.br/meio-ambiente/noticia/2024-10/queimadas-aumentam-em-sao-paulo-e-atingem-10-municipios
Presos dois suspeitos de provocar incêndios na Amazônia,Meio Ambiente,01/10/2024,https://agenciabrasil.ebc.com.br/meio-ambiente/noticia/2024-10/presos-dois-suspeitos-de-provocar-incendios-na-amazonia
PF prende suspeito de atear fogo a área de proteção ambiental do DF,Meio Ambiente,01/10/2024,https://agenciabrasil.ebc.com.br/meio-ambiente/noticia/2024-10/pf-prende-suspeito-de-atear-fogo-em-apa-no-df
"Após incêndios, São Paulo reabre hoje 69 parques estaduais",Meio Ambiente,30/09/2024,https://agenciabrasil.ebc.com.br/meio-ambiente/noticia/2024-09/apos-incendios-sao-paulo-reabre-hoje-69-parques-estaduais
Registro de queimadas em setembro é 30% maior que a média do mês,Meio Ambiente,30/09/2024,https://agenciabrasil.ebc.com.br/meio-ambiente/noticia/2024-09/registro-de-queimadas-em-setembro-e-30-maior-que-media-do-mes
Incêndio na Chapada dos Veadeiros ainda não foi controlado,Meio Ambiente,27/09/2024,https://agenciabrasil.ebc.com.br/meio-ambiente/noticia/2024-09/incendio-na-chapada-dos-veadeiros-ainda-nao-foi-controlado
"Manejo com fogo, contrafogo e queimada - entenda a diferença",Meio Ambiente,25/09/2024,https://agenciabrasil.ebc.com.br/meio-ambiente/noticia/2024-09/manejo-com-fogo-contrafogo-e-queimada-entenda-diferenca
"Mato Grosso inclui ""boi bombeiro"" em lei sobre áreas de proteção",Meio Ambiente,24/09/2024,https://agenciabrasil.ebc.com.br/meio-ambiente/noticia/2024-09/mato-grosso-inclui-boi-bombeiro-em-lei-sobre-areas-de-protecao
Piscina de água mineral reabre a público de Brasília nesta terça-feira,Geral,23/09/2024,https://agenciabrasil.ebc.com.br/geral/noticia/2024-09/piscina-de-agua-mineral-reabre-publico-de-brasilia-nesta-terca-feira
Incêndios e seca na Amazônia e no Pantanal batem marcas históricas,Meio Ambiente,23/09/2024,https://agenciabrasil.ebc.com.br/meio-ambiente/noticia/2024-09/incendios-e-seca-na-amazonia-e-no-pantanal-batem-marcas-historicas
Bolívia está perto de quebrar recorde de incêndios florestais,Internacional,23/09/2024,https://agenciabrasil.ebc.com.br/internacional/noticia/2024-09/bolivia-esta-perto-de-quebrar-recorde-de-incendios-florestais
Emissão de gases por incêndios é recorde em dois estados,Geral,23/09/2024,https://agenciabrasil.ebc.com.br/geral/noticia/2024-09/emissao-de-gases-por-incendios-e-recorde-em-dois-estados
Indígenas de MT lutam por sobrevivência após um mês de queimadas,Geral,21/09/2024,https://agenciabrasil.ebc.com.br/geral/noticia/2024-09/indigenas-de-mt-lutam-por-sobrevivencia-apos-um-mes-de-queimadas
Toffoli recebe alta médica e fará recuperação em casa,Justiça,20/09/2024,https://agenciabrasil.ebc.com.br/justica/noticia/2024-09/toffoli-recebe-alta-medica-e-fara-recuperacao-em-casa
Terra Indígena Kayapó tem mais de 17% de área tomada pelo fogo,Geral,20/09/2024,https://agenciabrasil.ebc.com.br/geral/noticia/2024-09/terra-indigena-kayapo-tem-mais-de-17%25-de-area-tomada-pelo-fogo
Rio: Justiça transforma em preventiva prisão de acusado de incêndio,Geral,20/09/2024,https://agenciabrasil.ebc.com.br/geral/noticia/2024-09/rio-justica-transforma-em-preventiva-prisao-de-acusado-de-incendio
Monitoramento mostra que 99% dos incêndios são por ação humana,Geral,20/09/2024,https://agenciabrasil.ebc.com.br/geral/noticia/2024-09/monitoramento-mostra-que-99-dos-incendios-sao-por-acao-humana
Indígenas sofrem com incêndio em área próxima a parque de Brasília,Geral,18/09/2024,https://agenciabrasil.ebc.com.br/geral/noticia/2024-09/indigenas-reclamam-de-incendio-provocado-em-brasilia
Portugal recebe ajuda de Espanha e Marrocos para lidar com incêndios,Internacional,18/09/2024,https://agenciabrasil.ebc.com.br/internacional/noticia/2024-09/portugal-recebe-ajuda-de-espanha-e-marrocos-para-lidar-com-incendios
"Chuva ajuda a apagar incêndio no Parque da Serra dos Órgãos, no Rio",Geral,18/09/2024,https://agenciabrasil.ebc.com.br/geral/noticia/2024-09/chuva-ajuda-apagar-incendio-no-parque-da-serra-dos-orgaos-no-rio
Fogo na Amazônia se concentra em locais onde agronegócio avança,Geral,18/09/2024,https://agenciabrasil.ebc.com.br/geral/noticia/2024-09/fogo-na-amazonia-se-concentra-em-locais-onde-agronegocio-avanca
